,"[]"
"'nt","[]"
"a","['determiner', 'noun']"
"ability","['suffix', 'noun']"
"able","['suffix', 'adjective']"
"about","['preposition', 'adjective', 'adverb']"
"above","['adverb', 'adjective', 'preposition']"
"across","['adverb', 'preposition']"
"after","['conjunction', 'preposition', 'adverb', 'prefix']"
"afternoon","['noun', 'exclamation']"
"against","['preposition']"
"age","['verb', 'noun', 'suffix']"
"agendum","[]"
"ah","['exclamation']"
"all","['predeterminer', 'pronoun', 'adverb', 'prefix', 'determiner']"
"along","['preposition', 'adverb']"
"although","['conjunction']"
"among","['preposition']"
"an","['suffix', 'determiner']"
"and","['conjunction']"
"anna","[]"
"another","['pronoun', 'determiner']"
"any","['determiner', 'adverb', 'pronoun']"
"anybody","['pronoun']"
"anyone","['pronoun']"
"anything","['pronoun']"
"anywhere","['adverb', 'pronoun']"
"arendelle","[]"
"around","['preposition', 'adverb']"
"as","['conjunction', 'adverb', 'preposition']"
"at","['preposition']"
"auto","['adjective', 'noun', 'prefix']"
"bar","['verb', 'noun', 'preposition']"
"be","['auxiliary verb', 'verb']"
"because","['conjunction']"
"before","['conjunction', 'preposition', 'adverb']"
"behind","['preposition', 'noun', 'adverb']"
"below","['adverb', 'preposition']"
"beneath","['preposition', 'adverb']"
"beside","['preposition']"
"besides","['adverb', 'preposition']"
"between","['preposition', 'adverb']"
"beyond","['preposition', 'adverb']"
"bos","[]"
"both","['predeterminer', 'pronoun', 'determiner']"
"bother","['noun', 'exclamation', 'verb']"
"boy","['noun', 'exclamation']"
"but","['conjunction', 'preposition', 'noun', 'adverb']"
"by","['adverb', 'preposition']"
"capable","['suffix', 'adjective']"
"cause","['conjunction', 'verb', 'noun']"
"ceil","[]"
"certain","['pronoun', 'adjective', 'determiner']"
"champion","['adjective', 'verb', 'noun', 'exclamation']"
"check","['verb', 'noun', 'exclamation']"
"cool","['verb', 'adjective', 'noun', 'exclamation']"
"couldn","[]"
"counter","['verb', 'noun', 'adverb', 'prefix']"
"cross","['adjective', 'verb', 'noun', 'prefix']"
"currently","[]"
"custom","['noun', 'prefix']"
"dear","['adjective', 'noun', 'exclamation']"
"degree","['suffix', 'noun']"
"despite","['preposition']"
"differently","[]"
"directly","['conjunction', 'adverb']"
"do","['auxiliary verb', 'noun', 'verb']"
"down","['preposition', 'adjective', 'noun', 'prefix', 'verb', 'adverb']"
"dozen","['noun', 'determiner']"
"during","['preposition']"
"e","['prefix']"
"each","['pronoun', 'determiner']"
"either","['conjunction', 'adverb', 'determiner', 'pronoun']"
"elsa","[]"
"enough","['pronoun', 'adverb', 'determiner']"
"etc","[]"
"every","['determiner']"
"everybody","['pronoun']"
"everyone","['pronoun']"
"everything","['pronoun']"
"except","['conjunction', 'preposition']"
"extra","['adverb', 'adjective', 'noun', 'prefix']"
"few","['adjective', 'pronoun', 'noun', 'determiner']"
"field","['verb', 'noun', 'suffix']"
"first","['adverb', 'noun', 'determiner', 'ordinal number']"
"for","['conjunction', 'preposition']"
"former","['suffix', 'adjective', 'noun']"
"free","['suffix', 'adjective', 'adverb', 'verb']"
"fresh","['adjective', 'prefix']"
"friendly","['suffix', 'adjective', 'noun']"
"from","['preposition']"
"fully","['adverb', 'suffix']"
"ga","[]"
"grant","['conjunction', 'verb', 'noun']"
"great","['adverb', 'adjective', 'noun', 'prefix']"
"half","['pronoun', 'noun', 'adjective', 'predeterminer', 'adverb']"
"happniess","[]"
"have","['modal verb', 'auxiliary verb', 'verb']"
"he","['pronoun', 'noun']"
"head","['verb', 'noun', 'suffix']"
"heel","['verb', 'noun', 'exclamation']"
"hell","['noun', 'exclamation']"
"hello","['noun', 'exclamation']"
"help","['verb', 'noun', 'exclamation']"
"herself","['pronoun']"
"hey","['exclamation']"
"hi","['exclamation']"
"himself","['pronoun']"
"hip","['adjective', 'noun', 'exclamation']"
"hmm","['exclamation']"
"hungry","['suffix', 'adjective']"
"hunter","['suffix', 'noun']"
"i","['pronoun']"
"ie","[]"
"if","['conjunction', 'noun']"
"ill","['adverb', 'adjective', 'noun', 'prefix']"
"immediately","['conjunction', 'adverb']"
